id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_001,001,1,FONTANELLA,"PIAZZA DANISINNI, 22","38.112536, 13.34446",13.34446,38.112536,"https://maps.google.com/?q=38.112536,13.34446",https://www.openstreetmap.org/?mlat=38.112536&mlon=13.34446&zoom=18#map=18/38.112536/13.34446
tp_002,002,2,FONTANELLA,"PIAZZA CONCEZIONE, 7","38.117926, 13.353889",13.353889,38.117926,"https://maps.google.com/?q=38.117926,13.353889",https://www.openstreetmap.org/?mlat=38.117926&mlon=13.353889&zoom=18#map=18/38.117926/13.353889
tp_003,003,3,FONTANELLA,"VIA SALINE, 29","38.19384, 13.327761",13.327761,38.19384,"https://maps.google.com/?q=38.19384,13.327761",https://www.openstreetmap.org/?mlat=38.19384&mlon=13.327761&zoom=18#map=18/38.19384/13.327761
tp_004,004,4,FONTANELLA,"VIA PALLAVICINO, 93 ","38.17158, 13.327725",13.327725,38.17158,"https://maps.google.com/?q=38.17158,13.327725",https://www.openstreetmap.org/?mlat=38.17158&mlon=13.327725&zoom=18#map=18/38.17158/13.327725
tp_005,005,5,FONTANELLA,"PIAZZA MARTINI, 3","38.192242, 13.326659",13.326659,38.192242,"https://maps.google.com/?q=38.192242,13.326659",https://www.openstreetmap.org/?mlat=38.192242&mlon=13.326659&zoom=18#map=18/38.192242/13.326659
tp_006,006,6,FONTANA,"VIA DEL FANTE, 3","38.148114, 13.343577",13.343577,38.148114,"https://maps.google.com/?q=38.148114,13.343577",https://www.openstreetmap.org/?mlat=38.148114&mlon=13.343577&zoom=18#map=18/38.148114/13.343577
tp_007,007,7,FONTANELLA,"PIAZZA TOMMASO NATALE, 141","38.189522, 13.285868",13.285868,38.189522,"https://maps.google.com/?q=38.189522,13.285868",https://www.openstreetmap.org/?mlat=38.189522&mlon=13.285868&zoom=18#map=18/38.189522/13.285868
tp_008,008,8,FONTANELLA,"VIA PARTANNA MONDELLO, 167","38.196281, 13.311114",13.311114,38.196281,"https://maps.google.com/?q=38.196281,13.311114",https://www.openstreetmap.org/?mlat=38.196281&mlon=13.311114&zoom=18#map=18/38.196281/13.311114
tp_009,009,9,FONTANA,"CORTILE CATALANO, 23 C","38.201258, 13.313392",13.313392,38.201258,"https://maps.google.com/?q=38.201258,13.313392",https://www.openstreetmap.org/?mlat=38.201258&mlon=13.313392&zoom=18#map=18/38.201258/13.313392
tp_010,010,10,FONTANELLA,"VIA CATALANO, 43 B","38.199843, 13.313914",13.313914,38.199843,"https://maps.google.com/?q=38.199843,13.313914",https://www.openstreetmap.org/?mlat=38.199843&mlon=13.313914&zoom=18#map=18/38.199843/13.313914
tp_011,011,11,FONTANELLA,"VIA CARBONE, 1","38.198446, 13.318446",13.318446,38.198446,"https://maps.google.com/?q=38.198446,13.318446",https://www.openstreetmap.org/?mlat=38.198446&mlon=13.318446&zoom=18#map=18/38.198446/13.318446
tp_012,012,12,FONTANELLA,"VIALE CAVARRETTA, 1","38.196729, 13.315325",13.315325,38.196729,"https://maps.google.com/?q=38.196729,13.315325",https://www.openstreetmap.org/?mlat=38.196729&mlon=13.315325&zoom=18#map=18/38.196729/13.315325
tp_013,013,13,FONTANELLA,"VIA ALTARELLO, 233","38.109418, 13.320532",13.320532,38.109418,"https://maps.google.com/?q=38.109418,13.320532",https://www.openstreetmap.org/?mlat=38.109418&mlon=13.320532&zoom=18#map=18/38.109418/13.320532
tp_014,014,14,FONTANELLA,"PIAZZA PAGLIARELLI, 7 ","38.090433, 13.331536",13.331536,38.090433,"https://maps.google.com/?q=38.090433,13.331536",https://www.openstreetmap.org/?mlat=38.090433&mlon=13.331536&zoom=18#map=18/38.090433/13.331536
tp_015,015,15,FONTANELLA,"VIA F. LO IACONO, 20","38.132622, 13.345516",13.345516,38.132622,"https://maps.google.com/?q=38.132622,13.345516",https://www.openstreetmap.org/?mlat=38.132622&mlon=13.345516&zoom=18#map=18/38.132622/13.345516
tp_016,016,16,FONTANELLA,"VIA G. SCIUTI, 2","38.132229, 13.34349",13.34349,38.132229,"https://maps.google.com/?q=38.132229,13.34349",https://www.openstreetmap.org/?mlat=38.132229&mlon=13.34349&zoom=18#map=18/38.132229/13.34349
tp_017,017,17,FONTANA,"CORTILE SEMINARIO GRECO,3","38.141415, 13.35695",13.35695,38.141415,"https://maps.google.com/?q=38.141415,13.35695",https://www.openstreetmap.org/?mlat=38.141415&mlon=13.35695&zoom=18#map=18/38.141415/13.35695
tp_018,018,18,FONTANELLA,"VIA NOSTRA DONNA DEL ROTOLO, 50","38.166993, 13.366562",13.366562,38.166993,"https://maps.google.com/?q=38.166993,13.366562",https://www.openstreetmap.org/?mlat=38.166993&mlon=13.366562&zoom=18#map=18/38.166993/13.366562
tp_019,019,19,FONTANELLA,"VIA PERPIGNANO, 177","38.119107, 13.331853",13.331853,38.119107,"https://maps.google.com/?q=38.119107,13.331853",https://www.openstreetmap.org/?mlat=38.119107&mlon=13.331853&zoom=18#map=18/38.119107/13.331853
tp_020,020,20,FONTANELLA,"VIA MAZZARELLA, 45","38.126114, 13.308807",13.308807,38.126114,"https://maps.google.com/?q=38.126114,13.308807",https://www.openstreetmap.org/?mlat=38.126114&mlon=13.308807&zoom=18#map=18/38.126114/13.308807
tp_021,021,21,FONTANA,"VIA ALOI, 123 ","38.075049, 13.355524",13.355524,38.075049,"https://maps.google.com/?q=38.075049,13.355524",https://www.openstreetmap.org/?mlat=38.075049&mlon=13.355524&zoom=18#map=18/38.075049/13.355524
tp_022,022,22,FONTANA,"VIA CASTELLANA, 95 ","38.125687, 13.308799",13.308799,38.125687,"https://maps.google.com/?q=38.125687,13.308799",https://www.openstreetmap.org/?mlat=38.125687&mlon=13.308799&zoom=18#map=18/38.125687/13.308799
tp_023,023,23,FONTANA,"CORTILE RAPALLO, 14 ","38.067715, 13.425265",13.425265,38.067715,"https://maps.google.com/?q=38.067715,13.425265",https://www.openstreetmap.org/?mlat=38.067715&mlon=13.425265&zoom=18#map=18/38.067715/13.425265
tp_024,024,24,FONTANELLA,"VIA CONTE FEDERICO, 178 ","38.093007, 13.388577",13.388577,38.093007,"https://maps.google.com/?q=38.093007,13.388577",https://www.openstreetmap.org/?mlat=38.093007&mlon=13.388577&zoom=18#map=18/38.093007/13.388577
