id,X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Indirizzo,Coordinate,Visualizza_Analisi
FW1,13.3555,38.119865,0,Fontanella Via Volturno,"Codice Fontana: FW1<br>Indirizzo: Via Volturno<br>Coordinate: 38.119865, 13.355500<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw1-fontanella-via-volturno/",,,,,-1,0,-1,,,Via Volturno,"38.119865, 13.355500",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw1-fontanella-via-volturno/
FW2,13.355584,38.112656,0,Fontanella Piazza della Vittoria,"Codice Fontana: FW2<br>Indirizzo: Piazza della Vittoria<br>Coordinate: 38.112656, 13.355584<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw2-piazza-della-vittoria/",,,,,-1,0,-1,,,Piazza della Vittoria,"38.112656, 13.355584",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw2-piazza-della-vittoria/
FW3,13.346463,38.111831,0,Fontanella Via Danisinni,"Codice Fontana: FW3<br>Indirizzo: Via Danisinni<br>Coordinate: 38.111831, 13.346463<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw3-fontanella-via-danisinni/",,,,,-1,0,-1,,,Via Danisinni,"38.111831, 13.346463",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw3-fontanella-via-danisinni/
FW4,13.367446,38.115299,0,Fontanella Piazza dei Cocchieri,"Codice Fontana: FW4<br>Indirizzo: Piazza dei Cocchieri<br>Coordinate: 38.115299, 13.367446<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw4-fontanella-piazza-dei-cocchieri/",,,,,-1,0,-1,,,Piazza dei Cocchieri,"38.115299, 13.367446",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw4-fontanella-piazza-dei-cocchieri/
FW5,13.358786,38.127628,0,Fontanella Piazza Mulino a vento,"Codice Fontana: FW5<br>Indirizzo: Piazza Mulino a vento<br>Coordinate: 38.127628, 13.358786<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw5-fontanella-piazza-mulino-a-vento/",,,,,-1,0,-1,,,Piazza Mulino a vento,"38.127628, 13.358786",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw5-fontanella-piazza-mulino-a-vento/
FW6,13.331853,38.119107,0,Fontanella Via Perpignano,"Codice Fontana: FW6<br>Indirizzo: Via Perpignano<br>Coordinate: 38.119107, 13.331853<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw6-fontanella-via-perpignano/",,,,,-1,0,-1,,,Via Perpignano,"38.119107, 13.331853",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw6-fontanella-via-perpignano/
FW7,13.325337,38.110006,0,Fontanella Via Madonna del Soccorso,"Codice Fontana: FW7<br>Indirizzo: Via Madonna del Soccorso<br>Coordinate: 38.110006, 13.325337<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw7-fontanella-via-madonna-del-soccorso/",,,,,-1,0,-1,,,Via Madonna del Soccorso,"38.110006, 13.325337",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw7-fontanella-via-madonna-del-soccorso/
FW8,13.308868,38.108181,0,Fontanella Via U. Maddalena,"Codice Fontana: FW8<br>Indirizzo: Via U. Maddalena<br>Coordinate: 38.108181, 13.308868<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw8-fontanella-via-u-maddalena/",,,,,-1,0,-1,,,Via U. Maddalena,"38.108181, 13.308868",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw8-fontanella-via-u-maddalena/
FW9,13.338787,38.101296,0,Fontanella Piazza Turba,"Codice Fontana: FW9<br>Indirizzo: Piazza Turba<br>Coordinate: 38.101296, 13.338787<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw9-fontanella-piazza-turba/",,,,,-1,0,-1,,,Piazza Turba,"38.101296, 13.338787",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw9-fontanella-piazza-turba/
FW10,13.331536,38.090433,0,Fontanella Piazza Pagliarelli,"Codice Fontana: FW10<br>Indirizzo: Piazza Pagliarelli<br>Coordinate: 38.090433, 13.331536<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw10-fontanella-piazza-pagliarelli/",,,,,-1,0,-1,,,Piazza Pagliarelli,"38.090433, 13.331536",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw10-fontanella-piazza-pagliarelli/
