Codice comune,Denominazione,Eta,Maschi celibi,Maschi coniugati,Maschi divorziati,Maschi vedovi,Maschi uniti civilmente,Maschi già in unione civile (per scioglimento),Maschi già in unione civile (per decesso del partner),Totale Maschi,Femmine nubili,Femmine coniugate,Femmine divorziate,Femmine vedove,Femmine unite civilmente,Femmine già in unione civile (per scioglimento),Femmine già in unione civile (per decesso del partner),Totale Femmine
82053,Palermo,0,2915,0,0,0,0,0,0,2915,2712,0,0,0,0,0,0,2712
82053,Palermo,1,2923,0,0,0,0,0,0,2923,2830,0,0,0,0,0,0,2830
82053,Palermo,2,2843,0,0,0,0,0,0,2843,2766,0,0,0,0,0,0,2766
82053,Palermo,3,3101,0,0,0,0,0,0,3101,2967,0,0,0,0,0,0,2967
82053,Palermo,4,3152,0,0,0,0,0,0,3152,2899,0,0,0,0,0,0,2899
82053,Palermo,5,3058,0,0,0,0,0,0,3058,2986,0,0,0,0,0,0,2986
82053,Palermo,6,3237,0,0,0,0,0,0,3237,3050,0,0,0,0,0,0,3050
82053,Palermo,7,3211,0,0,0,0,0,0,3211,3131,0,0,0,0,0,0,3131
82053,Palermo,8,3118,0,0,0,0,0,0,3118,3092,0,0,0,0,0,0,3092
82053,Palermo,9,3243,0,0,0,0,0,0,3243,3249,0,0,0,0,0,0,3249
82053,Palermo,10,3405,0,0,0,0,0,0,3405,3249,0,0,0,0,0,0,3249
82053,Palermo,11,3221,0,0,0,0,0,0,3221,3341,0,0,0,0,0,0,3341
82053,Palermo,12,3555,0,0,0,0,0,0,3555,3329,0,0,0,0,0,0,3329
82053,Palermo,13,3512,0,0,0,0,0,0,3512,3296,0,0,0,0,0,0,3296
82053,Palermo,14,3544,0,0,0,0,0,0,3544,3385,0,0,0,0,0,0,3385
82053,Palermo,15,3421,0,0,0,0,0,0,3421,3277,0,0,0,0,0,0,3277
82053,Palermo,16,3503,0,0,0,0,0,0,3503,3337,0,0,0,0,0,0,3337
82053,Palermo,17,3524,0,0,0,0,0,0,3524,3286,0,0,0,0,0,0,3286
82053,Palermo,18,3704,0,0,0,0,0,0,3704,3417,12,0,0,0,0,0,3429
82053,Palermo,19,3780,7,0,0,0,0,0,3787,3384,27,0,0,0,0,0,3411
82053,Palermo,20,3665,7,0,0,0,0,0,3672,3437,75,0,0,0,0,0,3512
82053,Palermo,21,3741,27,0,0,0,0,0,3768,3371,114,1,0,0,0,0,3486
82053,Palermo,22,3757,58,0,0,1,0,0,3816,3409,188,1,0,0,0,0,3598
82053,Palermo,23,3716,105,0,0,0,0,0,3821,3353,315,1,0,0,0,0,3669
82053,Palermo,24,3671,149,0,0,0,0,0,3820,3309,436,3,0,1,0,0,3749
82053,Palermo,25,3785,261,0,1,0,0,0,4047,3266,600,3,2,2,0,0,3873
82053,Palermo,26,3875,396,0,0,0,0,0,4271,3348,822,1,0,0,0,0,4171
82053,Palermo,27,3600,524,2,0,3,0,0,4129,2959,1008,5,1,1,0,0,3974
82053,Palermo,28,3466,696,6,0,1,0,0,4169,2703,1201,10,1,1,0,0,3916
82053,Palermo,29,3170,931,8,1,0,0,0,4110,2476,1477,18,3,2,0,0,3976
82053,Palermo,30,2979,1105,8,2,2,0,0,4096,2298,1688,14,3,2,0,0,4005
82053,Palermo,31,2544,1260,3,1,1,0,0,3809,1971,1820,22,5,2,0,0,3820
82053,Palermo,32,2445,1400,13,1,1,0,0,3860,1738,2032,23,7,1,0,0,3801
