Tipologia,CAP,Coordinate,Indirizzo,UPL_#,UPL_nome,Id_Quartie,Quartiere,Circoscrizione,Utenti_potenz,lat,lng,googlemaps,osm
Fontanella,90134,"38.112536, 13.34446","Piazza Danisinni, 22",18,Cuba - Calatafimi,5,Cuba - Calatafimi,IV,17617,38.112536,13.34446,"https://maps.google.com/?q=38.112536,13.34446",https://www.openstreetmap.org/?mlat=38.112536&mlon=13.34446&zoom=18#map=18/38.112536/13.34446
Fontanella,90134,"38.117926, 13.353889","Piazza Concezione, 7",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,5583,38.117926,13.353889,"https://maps.google.com/?q=38.117926,13.353889",https://www.openstreetmap.org/?mlat=38.117926&mlon=13.353889&zoom=18#map=18/38.117926/13.353889
Fontanella,90149,"38.19384, 13.327761","Via Saline, 29",50,Partanna Mondello,22,Partanna Mondello,VII,2381,38.19384,13.327761,"https://maps.google.com/?q=38.19384,13.327761",https://www.openstreetmap.org/?mlat=38.19384&mlon=13.327761&zoom=18#map=18/38.19384/13.327761
Fontanella,90146,"38.17158, 13.327725","Via Pallavicino, 93",46,Pallavicino,23,Pallavicino,VII,3423,38.17158,13.327725,"https://maps.google.com/?q=38.17158,13.327725",https://www.openstreetmap.org/?mlat=38.17158&mlon=13.327725&zoom=18#map=18/38.17158/13.327725
Fontanella,90149,"38.192242, 13.326659","Piazza Martini, 3",50,Partanna Mondello,22,Partanna Mondello,VII,1557,38.192242,13.326659,"https://maps.google.com/?q=38.192242,13.326659",https://www.openstreetmap.org/?mlat=38.192242&mlon=13.326659&zoom=18#map=18/38.192242/13.326659
Fontanella,90146,"38.148114, 13.343577","Via Del Fante, 3",43,Resuttana,20,Resuttana - San Lorenzo,VI,16188,38.148114,13.343577,"https://maps.google.com/?q=38.148114,13.343577",https://www.openstreetmap.org/?mlat=38.148114&mlon=13.343577&zoom=18#map=18/38.148114/13.343577
Fontanella,90147,"38.189522, 13.285868","Piazza Tommaso Natale, 141",48,Tommaso Natale - Sant'Ambrogio - Cardillo,21,Tommaso Natale - Sferracavallo,VII,783,38.189522,13.285868,"https://maps.google.com/?q=38.189522,13.285868",https://www.openstreetmap.org/?mlat=38.189522&mlon=13.285868&zoom=18#map=18/38.189522/13.285868
Fontanella,90151,"38.196281, 13.311114","Via Partanna Mondello, 167",50,Partanna Mondello,22,Partanna Mondello,VII,2121,38.196281,13.311114,"https://maps.google.com/?q=38.196281,13.311114",https://www.openstreetmap.org/?mlat=38.196281&mlon=13.311114&zoom=18#map=18/38.196281/13.311114
Fontana,90151,"38.201258, 13.313392","Cortile Catalano, 23 C",50,Partanna Mondello,22,Partanna Mondello,VII,5221,38.201258,13.313392,"https://maps.google.com/?q=38.201258,13.313392",https://www.openstreetmap.org/?mlat=38.201258&mlon=13.313392&zoom=18#map=18/38.201258/13.313392
Fontanella,90151,"38.199843, 13.313914","Via Catalano, 43 B",50,Partanna Mondello,22,Partanna Mondello,VII,141,38.199843,13.313914,"https://maps.google.com/?q=38.199843,13.313914",https://www.openstreetmap.org/?mlat=38.199843&mlon=13.313914&zoom=18#map=18/38.199843/13.313914
Fontanella,90151,"38.198446, 13.318446","Via Carbone, 1",50,Partanna Mondello,22,Partanna Mondello,VII,771,38.198446,13.318446,"https://maps.google.com/?q=38.198446,13.318446",https://www.openstreetmap.org/?mlat=38.198446&mlon=13.318446&zoom=18#map=18/38.198446/13.318446
Fontanella,90151,"38.196729, 13.315325","Viale Cavarretta, 1",50,Partanna Mondello,22,Partanna Mondello,VII,371,38.196729,13.315325,"https://maps.google.com/?q=38.196729,13.315325",https://www.openstreetmap.org/?mlat=38.196729&mlon=13.315325&zoom=18#map=18/38.196729/13.315325
Fontanella,90135,"38.109418, 13.320532","Via Altarello, 233",23,Altarello - Tasca Lanza,15,Altarello,IV,4187,38.109418,13.320532,"https://maps.google.com/?q=38.109418,13.320532",https://www.openstreetmap.org/?mlat=38.109418&mlon=13.320532&zoom=18#map=18/38.109418/13.320532
Fontanella,90129,"38.090433, 13.331536","Piazza Pagliarelli, 7",20,Mezzomonreale,14,Mezzomonreale - Villa Tasca,IV,9718,38.090433,13.331536,"https://maps.google.com/?q=38.090433,13.331536",https://www.openstreetmap.org/?mlat=38.090433&mlon=13.331536&zoom=18#map=18/38.090433/13.331536
