fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
1,tp_001,1,13.34446,38.112536,Fontanella,"38.112536, 13.34446","Piazza Danisinni, 22",18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90134,"<a href=""https://maps.google.com/?q=38.112536,13.34446"" title=""Piazza Danisinni, 22"">Piazza Danisinni, 22</a>"
2,tp_002,2,13.353889,38.117926,Fontanella,"38.117926, 13.353889","Piazza Concezione, 7",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.117926,13.353889"" title=""Piazza Concezione, 7"">Piazza Concezione, 7</a>"
3,tp_003,3,13.327761,38.19384,Fontanella,"38.19384, 13.327761","Via Saline, 29",50,Partanna Mondello,Partanna Mondello,VII,22,90149,"<a href=""https://maps.google.com/?q=38.19384,13.327761"" title=""Via Saline, 29"">Via Saline, 29</a>"
4,tp_004,4,13.327725,38.17158,Fontanella,"38.17158, 13.327725","Via Pallavicino, 93",46,Pallavicino,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.17158,13.327725"" title=""Via Pallavicino, 93"">Via Pallavicino, 93</a>"
5,tp_005,5,13.326659,38.192242,Fontanella,"38.192242, 13.326659","Piazza Martini, 3",50,Partanna Mondello,Partanna Mondello,VII,22,90149,"<a href=""https://maps.google.com/?q=38.192242,13.326659"" title=""Piazza Martini, 3"">Piazza Martini, 3</a>"
6,tp_006,6,13.343577,38.148114,Fontana,"38.148114, 13.343577","Via Del Fante, 3",43,Resuttana,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.148114,13.343577"" title=""Via Del Fante, 3"">Via Del Fante, 3</a>"
7,tp_007,7,13.285868,38.189522,Fontanella,"38.189522, 13.285868","Piazza Tommaso Natale, 141",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.189522,13.285868"" title=""Piazza Tommaso Natale, 141"">Piazza Tommaso Natale, 141</a>"
8,tp_008,8,13.311114,38.196281,Fontanella,"38.196281, 13.311114","Via Partanna Mondello, 167",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.196281,13.311114"" title=""Via Partanna Mondello, 167"">Via Partanna Mondello, 167</a>"
9,tp_009,9,13.313392,38.201258,Fontana,"38.201258, 13.313392","Cortile Catalano, 23 C",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.201258,13.313392"" title=""Cortile Catalano, 23 C"">Cortile Catalano, 23 C</a>"
10,tp_010,10,13.313914,38.199843,Fontanella,"38.199843, 13.313914","Via Catalano, 43 B",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.199843,13.313914"" title=""Via Catalano, 43 B"">Via Catalano, 43 B</a>"
