n,Nome,Indirizzo,Coordinate,X,Y
1,FONTANELLA,"PIAZZA DANISINNI, 22","38.112536, 13.34446",13.34446,38.112536
2,FONTANELLA,"PIAZZA CONCEZIONE, 7","38.117926, 13.353889",13.353889,38.117926
3,FONTANELLA,"VIA SALINE, 29","38.19384, 13.327761",13.327761,38.19384
4,FONTANELLA,"VIA PALLAVICINO, 93 ","38.17158, 13.327725",13.327725,38.17158
5,FONTANELLA,"PIAZZA MARTINI, 3","38.192242, 13.326659",13.326659,38.192242
6,FONTANA,"VIA DEL FANTE, 3","38.148114, 13.343577",13.343577,38.148114
7,FONTANELLA,"PIAZZA TOMMASO NATALE, 141","38.189522, 13.285868",13.285868,38.189522
8,FONTANELLA,"VIA PARTANNA MONDELLO, 167","38.196281, 13.311114",13.311114,38.196281
9,FONTANA,"CORTILE CATALANO, 23 C","38.201258, 13.313392",13.313392,38.201258
10,FONTANELLA,"VIA CATALANO, 43 B","38.199843, 13.313914",13.313914,38.199843
11,FONTANELLA,"VIA CARBONE, 1","38.198446, 13.318446",13.318446,38.198446
12,FONTANELLA,"VIALE CAVARRETTA, 1","38.196729, 13.315325",13.315325,38.196729
13,FONTANELLA,"VIA ALTARELLO, 233","38.109418, 13.320532",13.320532,38.109418
14,FONTANELLA,"PIAZZA PAGLIARELLI, 7 ","38.090433, 13.331536",13.331536,38.090433
15,FONTANELLA,"VIA F. LO IACONO, 20","38.132622, 13.345516",13.345516,38.132622
16,FONTANELLA,"VIA G. SCIUTI, 2","38.132229, 13.34349",13.34349,38.132229
17,FONTANA,"CORTILE SEMINARIO GRECO,3","38.141415, 13.35695",13.35695,38.141415
18,FONTANELLA,"VIA NOSTRA DONNA DEL ROTOLO, 50","38.166993, 13.366562",13.366562,38.166993
19,FONTANELLA,"VIA PERPIGNANO, 177","38.119107, 13.331853",13.331853,38.119107
20,FONTANELLA,"VIA MAZZARELLA, 45","38.126114, 13.308807",13.308807,38.126114
21,FONTANA,"VIA ALOI, 123 ","38.075049, 13.355524",13.355524,38.075049
22,FONTANA,"VIA CASTELLANA, 95 ","38.125687, 13.308799",13.308799,38.125687
23,FONTANA,"CORTILE RAPALLO, 14 ","38.067715, 13.425265",13.425265,38.067715
24,FONTANELLA,"VIA CONTE FEDERICO, 178 ","38.093007, 13.388577",13.388577,38.093007
25,FONTANA,VICOLO MEZZOJUSO,"38.113334, 13.366064",13.366064,38.113334
26,FONTANELLA,PIAZZA MESCHITA ,"38.113609, 13.364339",13.364339,38.113609
27,FONTANELLA,"VIA BOLOGNA, 24 ","38.113426, 13.364561",13.364561,38.113426
28,FONTANELLA,"VIA MESSINA MARINE, 637 ","38.09748, 13.416208",13.416208,38.09748
29,FONTANELLA,"CORSO DEI MILLE, 384 ","38.102967, 13.379517",13.379517,38.102967
30,FONTANELLA,"VIA SPERONE, 296 ","38.09916, 13.401636",13.401636,38.09916
31,FONTANELLA,"VIA SPERONE, 66 A ","38.099477, 13.399401",13.399401,38.099477
32,FONTANELLA,CORSO DEI MILLE 1620 ,"38.088055, 13.420907",13.420907,38.088055
33,FONTANELLA,"VIA BARRESI ,7 ","38.079082, 13.373998",13.373998,38.079082
34,FONTANELLA,"VIA DECOLLATI, 14 ","38.105165, 13.371716",13.371716,38.105165
35,FONTANELLA,"VIA DEL CELSO, 85","38.116145, 13.358085",13.358085,38.116145
36,FONTANELLA,"PIAZZETTA PIETRO SPECIALE, 1 ","38.113976, 13.359963",13.359963,38.113976
37,FONTANELLA,"PIAZZA TAVOLA TONDA, 18 ","38.120135, 13.365852",13.365852,38.120135
38,FONTANA,PIAZZA VITTORIA ,"38.112656, 13.355584",13.355584,38.112656
39,FONTANELLA,"VIA AGOSTINO CATALANO, 80  ","38.104312, 13.341897",13.341897,38.104312
40,FONTANELLA,"PIAZZA SAN GIOVANNI ALLA GUILLA, 4 ","38.116226, 13.356055",13.356055,38.116226
41,FONTANELLA,"PIAZZETTA DELLA CANNA, 2 ","38.115866, 13.359141",13.359141,38.115866
42,FONTANELLA,"PIAZZA RITIRO SAN PIETRO, 20 ","38.109595, 13.35887",13.35887,38.109595
43,FONTANELLA,"PIAZZETTA DELLE API, 6 ","38.1169, 13.358557",13.358557,38.1169
44,FONTANA,VIA DELLA LIBERTA' GIARDINO INGLESE ,"38.131958, 13.350762",13.350762,38.131958
45,FONTANELLA,PIAZZA VILLAGRAZIA,"38.07816, 13.333445",13.333445,38.07816
46,FONTANELLA,FONDO PECORARO (VIA FALSOMIELE),"38.076736, 13.369887",13.369887,38.076736
47,FONTANELLA,VIA MADONNA DEL SOCCORSO 3,"38.110006, 13.325337",13.325337,38.110006
48,FONTANELLA,"VIA LORENZO IANDOLINO, 54","38.196577, 13.312688",13.312688,38.196577
